Freq.	V(in)	V(out)
1.00000000000000e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.71115043445819e-002dB,-3.59527377986818e+000°)
1.12201845430196e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.15311410587526e-002dB,-4.03259455028167e+000°)
1.25892541179417e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.70887463536615e-002dB,-4.52271443435097e+000°)
1.41253754462275e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.40752594344531e-002dB,-5.07184607524368e+000°)
1.58489319246111e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.28548072076173e-002dB,-5.68686695001037e+000°)
1.77827941003892e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.38824260125527e-002dB,-6.37536324910515e+000°)
1.99526231496888e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.77256783242149e-002dB,-7.14566466802580e+000°)
2.23872113856834e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.50907912087449e-002dB,-8.00686373270786e+000°)
2.51188643150958e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.06853905079449e-001dB,-8.96881082922131e+000°)
2.81838293126445e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.34097876901685e-001dB,-1.00420730174230e+001°)
3.16227766016838e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.68154766279123e-001dB,-1.12378409846241e+001°)
3.54813389233575e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.10653557196319e-001dB,-1.25677643075743e+001°)
3.98107170553497e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.63571721820995e-001dB,-1.40436910015372e+001°)
4.46683592150963e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.29287794990368e-001dB,-1.56772840854024e+001°)
5.01187233627272e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.10630101110548e-001dB,-1.74794872213251e+001°)
5.62341325190348e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.10914150570779e-001dB,-1.94598159150423e+001°)
6.30957344480192e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.33958190331209e-001dB,-2.16254636623915e+001°)
7.07945784384137e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.84063488953301e-001dB,-2.39802375073814e+001°)
7.94328234724280e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-9.65944182943365e-001dB,-2.65233773891509e+001°)
8.91250938133744e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.18459244349894e+000dB,-2.92483674775225e+001°)
9.99999999999998e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.44507011620528e+000dB,-3.21419076353420e+001°)
1.12201845430196e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.75222911867290e+000dB,-3.51832620096437e+001°)
1.25892541179417e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.11037935480569e+000dB,-3.83442141715950e+001°)
1.41253754462275e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.52294151603764e+000dB,-4.15898086978314e+001°)
1.58489319246111e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.99213678104053e+000dB,-4.48799368167268e+001°)
1.77827941003892e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.51876895142402e+000dB,-4.81716475822671e+001°)
1.99526231496888e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.10214244431344e+000dB,-5.14218873629768e+001°)
2.23872113856833e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.74013335672673e+000dB,-5.45902551706282e+001°)
2.51188643150957e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.42939865722655e+000dB,-5.76413569638677e+001°)
