Freq.	V(in)	V(out)
1.00000000000000e+000	1.00000000000000e+000,0.00000000000000e+000	9.96067682407172e-001,-6.25847782705717e-002
1.12201845430196e+000	1.00000000000000e+000,0.00000000000000e+000	9.95054540807711e-001,-7.01498512162813e-002
1.25892541179417e+000	1.00000000000000e+000,0.00000000000000e+000	9.93781997932933e-001,-7.86087687052843e-002
1.41253754462275e+000	1.00000000000000e+000,0.00000000000000e+000	9.92184582000358e-001,-8.80587147370045e-002
1.58489319246111e+000	1.00000000000000e+000,0.00000000000000e+000	9.90180841826309e-001,-9.86039669914498e-002
1.77827941003892e+000	1.00000000000000e+000,0.00000000000000e+000	9.87669761016954e-001,-1.10354901067723e-001
1.99526231496888e+000	1.00000000000000e+000,0.00000000000000e+000	9.84526549537567e-001,-1.23426183580388e-001
2.23872113856834e+000	1.00000000000000e+000,0.00000000000000e+000	9.80597814270700e-001,-1.37933828041657e-001
2.51188643150958e+000	1.00000000000000e+000,0.00000000000000e+000	9.75696190847139e-001,-1.53990694567960e-001
2.81838293126445e+000	1.00000000000000e+000,0.00000000000000e+000	9.69594654058710e-001,-1.71699915199397e-001
3.16227766016838e+000	1.00000000000000e+000,0.00000000000000e+000	9.62020935754163e-001,-1.91145637995870e-001
3.54813389233575e+000	1.00000000000000e+000,0.00000000000000e+000	9.52652791274688e-001,-2.12380438249932e-001
3.98107170553497e+000	1.00000000000000e+000,0.00000000000000e+000	9.41115286747817e-001,-2.35408801444192e-001
4.46683592150963e+000	1.00000000000000e+000,0.00000000000000e+000	9.26981827836805e-001,-2.60166328907377e-001
5.01187233627272e+000	1.00000000000000e+000,0.00000000000000e+000	9.09781266401955e-001,-2.86494875531850e-001
5.62341325190348e+000	1.00000000000000e+000,0.00000000000000e+000	8.89013968769238e-001,-3.14114839035673e-001
6.30957344480192e+000	1.00000000000000e+000,0.00000000000000e+000	8.64179940094449e-001,-3.42597389413293e-001
7.07945784384137e+000	1.00000000000000e+000,0.00000000000000e+000	8.34821549485283e-001,-3.71341527438387e-001
7.94328234724280e+000	1.00000000000000e+000,0.00000000000000e+000	8.00581558225436e-001,-3.99563170042947e-001
8.91250938133744e+000	1.00000000000000e+000,0.00000000000000e+000	7.61273576118186e-001,-4.26305193989488e-001
9.99999999999998e+000	1.00000000000000e+000,0.00000000000000e+000	7.16956800324899e-001,-4.50477243368388e-001
1.12201845430196e+001	1.00000000000000e+000,0.00000000000000e+000	6.68000962340771e-001,-4.70930649514952e-001
1.25892541179417e+001	1.00000000000000e+000,0.00000000000000e+000	6.15123139558602e-001,-4.86566195638549e-001
1.41253754462275e+001	1.00000000000000e+000,0.00000000000000e+000	5.59378600943745e-001,-4.96461661913549e-001
1.58489319246111e+001	1.00000000000000e+000,0.00000000000000e+000	5.02095491724173e-001,-4.99995608895152e-001
1.77827941003892e+001	1.00000000000000e+000,0.00000000000000e+000	4.44757320250424e-001,-4.96938875853043e-001
1.99526231496888e+001	1.00000000000000e+000,0.00000000000000e+000	3.88853270117723e-001,-4.87489901881543e-001
2.23872113856833e+001	1.00000000000000e+000,0.00000000000000e+000	3.35727305067099e-001,-4.72244091227706e-001
2.51188643150957e+001	1.00000000000000e+000,0.00000000000000e+000	2.86457458373511e-001,-4.52105720949978e-001
2.81838293126445e+001	1.00000000000000e+000,0.00000000000000e+000	2.41786384939315e-001,-4.28165539245387e-001
3.16227766016837e+001	1.00000000000000e+000,0.00000000000000e+000	2.02108322864379e-001,-4.01572594549637e-001
3.54813389233575e+001	1.00000000000000e+000,0.00000000000000e+000	1.67503112611947e-001,-3.73424450026048e-001
3.98107170553496e+001	1.00000000000000e+000,0.00000000000000e+000	1.37799743998985e-001,-3.44689678628181e-001
4.46683592150962e+001	1.00000000000000e+000,0.00000000000000e+000	1.12650925470722e-001,-3.16165612395327e-001
5.01187233627271e+001	1.00000000000000e+000,0.00000000000000e+000	9.16041989621081e-002,-2.88466409993640e-001
5.62341325190347e+001	1.00000000000000e+000,0.00000000000000e+000	7.41610248273601e-002,-2.62032759829598e-001
6.30957344480191e+001	1.00000000000000e+000,0.00000000000000e+000	5.98206297664339e-002,-2.37154215692619e-001
7.07945784384136e+001	1.00000000000000e+000,0.00000000000000e+000	4.81091217092390e-002,-2.13996808662196e-001
7.94328234724279e+001	1.00000000000000e+000,0.00000000000000e+000	3.85963323878871e-002,-1.92630878921555e-001
8.91250938133743e+001	1.00000000000000e+000,0.00000000000000e+000	3.09034737806792e-002,-1.73056202110661e-001
9.99999999999997e+001	1.00000000000000e+000,0.00000000000000e+000	2.47045230318578e-002,-1.55223096134648e-001
1.12201845430196e+002	1.00000000000000e+000,0.00000000000000e+000	1.97237168257211e-002,-1.39049242429795e-001
1.25892541179416e+002	1.00000000000000e+000,0.00000000000000e+000	1.57309193993930e-002,-1.24432542263842e-001
1.41253754462275e+002	1.00000000000000e+000,0.00000000000000e+000	1.25360727215367e-002,-1.11260593213667e-001
1.58489319246111e+002	1.00000000000000e+000,0.00000000000000e+000	9.98349712771301e-003,-9.94174376697265e-002
1.77827941003892e+002	1.00000000000000e+000,0.00000000000000e+000	7.94649036506456e-003,-8.87881954763272e-002
1.99526231496887e+002	1.00000000000000e+000,0.00000000000000e+000	6.32245488631574e-003,-7.92621060187416e-002
2.23872113856833e+002	1.00000000000000e+000,0.00000000000000e+000	5.02864342775219e-003,-7.07344058646760e-002
2.51188643150957e+002	1.00000000000000e+000,0.00000000000000e+000	3.99852893545871e-003,-6.31073743853364e-002
2.81838293126444e+002	1.00000000000000e+000,0.00000000000000e+000	3.17875859260750e-003,-5.62907993051922e-002
