time	V(vin)	V(vout)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719976993e-006	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719977070e-006	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719977147e-006	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719977112e-006	0.000000e+000	0.000000e+000	0.000000e+000
5.102310719976755e-006	0.000000e+000	0.000000e+000	0.000000e+000
6.126310719976398e-006	0.000000e+000	0.000000e+000	0.000000e+000
7.150310719976042e-006	0.000000e+000	0.000000e+000	0.000000e+000
8.174310719976146e-006	0.000000e+000	0.000000e+000	0.000000e+000
9.198310719976657e-006	0.000000e+000	0.000000e+000	0.000000e+000
1.022231071997717e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.124631071997768e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.227031071997819e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.329431071997870e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.431831071997921e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.534231071997958e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.636631071997835e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.739031071997713e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.841431071997591e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.943831071997468e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.046231071997346e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.148631071997223e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.251031071997101e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.353431071996979e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.455831071996856e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.558231071996734e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.660631071996611e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.763031071996489e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.865431071996367e-005	0.000000e+000	0.000000e+000	0.000000e+000
2.967831071996244e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.070231071996184e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.172631071996409e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.275031071996633e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.377431071996858e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.479831071997083e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.582231071997307e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.684631071997532e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.787031071997756e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.889431071997981e-005	0.000000e+000	0.000000e+000	0.000000e+000
3.991831071998205e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.094231071998430e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.196631071998654e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.299031071998879e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.401431071999103e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.503831071999328e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.606231071999552e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.708631071999777e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.811031072000001e-005	0.000000e+000	0.000000e+000	0.000000e+000
4.913431072000226e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.015831072000451e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.118231072000675e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.220631072000900e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.323031072001124e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.425431072001349e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.527831072001573e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.630231072001798e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.732631072002022e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.835031072002247e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.937431072002471e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.039831072002696e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.142231072002920e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.244631072003144e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.347031072003369e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.449431072003593e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.551831072003818e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.654231072004042e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.756631072004267e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.859031072004491e-005	0.000000e+000	0.000000e+000	0.000000e+000
6.961431072004716e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.063831072004941e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.166231072005165e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.268631072005390e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.371031072005614e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.473431072005839e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.575831072006063e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.678231072006288e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.780631072006512e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.883031072006737e-005	0.000000e+000	0.000000e+000	0.000000e+000
7.985431072006961e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.087831072007186e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.190231072007410e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.292631072007635e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.395031072007859e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.497431072008084e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.599831072008309e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.702231072008533e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.804631072008758e-005	0.000000e+000	0.000000e+000	0.000000e+000
8.907031072008982e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.009431072009207e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.111831072009431e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.214231072009656e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.316631072009880e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.419031072010105e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.521431072010329e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.623831072010554e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.726231072010778e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.828631072011003e-005	0.000000e+000	0.000000e+000	0.000000e+000
9.931031072011227e-005	0.000000e+000	0.000000e+000	0.000000e+000
1.003343107201145e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.013583107201168e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.023823107201190e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.034063107201213e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.044303107201235e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.054543107201258e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.064783107201280e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.075023107201302e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.085263107201325e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.095503107201347e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.105743107201370e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.115983107201392e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.126223107201415e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.136463107201437e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.146703107201460e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.156943107201482e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.167183107201505e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.177423107201527e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.187663107201549e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.197903107201572e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.208143107201594e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.218383107201617e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.228623107201532e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.238863107201416e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.249103107201299e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.259343107201183e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.269583107201067e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.279823107200950e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.290063107200834e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.300303107200718e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.310543107200601e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.320783107200485e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.331023107200369e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.341263107200252e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.351503107200136e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.361743107200020e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.371983107199903e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.382223107199787e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.392463107199671e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.402703107199555e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.412943107199438e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.423183107199322e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.433423107199206e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.443663107199089e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.453903107198973e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.464143107198857e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.474383107198740e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.484623107198624e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.494863107198508e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.505103107198391e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.515343107198275e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.525583107198159e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.535823107198042e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.546063107197926e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.556303107197810e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.566543107197693e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.576783107197577e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.587023107197461e-004	0.000000e+000	0.000000e+000	0.000000e+000
1.597263107197344e-004	0.000000e+000	0.000000e+000	0.000000e+000
