time	V(1khz)	V(10hz)	V(100hz)	V(v1)	V(v2)	V(v3)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.681142724751098e-006	5.594010e-005	5.471657e-007	5.472880e-006	2.941249e-004	2.941284e-003	2.944776e-002
9.362285449502195e-006	2.165639e-004	2.158643e-006	2.158713e-005	5.882497e-004	5.882487e-003	5.881464e-002
1.404342817425329e-005	4.818713e-004	4.834433e-006	4.834276e-005	8.823745e-004	8.823609e-003	8.810064e-002
1.872457089900439e-005	8.518624e-004	8.574534e-006	8.573977e-005	1.176499e-003	1.176465e-002	1.173058e-001
2.340571362375549e-005	1.326537e-003	1.337895e-005	1.337781e-004	1.470624e-003	1.470561e-002	1.464300e-001
2.808685634850659e-005	1.905896e-003	1.924767e-005	1.924579e-004	1.764748e-003	1.764649e-002	1.754734e-001
3.276799907325767e-005	2.589938e-003	2.618071e-005	2.617790e-004	2.058873e-003	2.058729e-002	2.044359e-001
6.553599814651534e-005	9.489309e-003	9.796093e-005	9.793004e-004	4.117737e-003	4.116585e-002	4.002364e-001
1.124602241453577e-004	2.492762e-002	2.674604e-004	2.672739e-003	7.066025e-003	7.060206e-002	6.492580e-001
1.684659341279011e-004	4.938429e-002	5.531870e-004	5.525709e-003	1.058483e-002	1.056527e-001	8.716225e-001
1.949870800082034e-004	6.296682e-002	7.238677e-004	7.228818e-003	1.225109e-002	1.222077e-001	9.408532e-001
2.138386559632079e-004	7.340063e-002	8.647040e-004	8.633249e-003	1.343547e-002	1.339549e-001	9.742990e-001
2.296959946501014e-004	8.237813e-002	9.936838e-004	9.918760e-003	1.443172e-002	1.438218e-001	9.918735e-001
2.451008336675311e-004	9.114003e-002	1.127953e-003	1.125627e-002	1.539953e-002	1.533934e-001	9.995263e-001
2.631785845495404e-004	1.013145e-001	1.296589e-003	1.293505e-002	1.653524e-002	1.646074e-001	9.965737e-001
2.864494744187923e-004	1.139048e-001	1.531920e-003	1.527560e-002	1.799718e-002	1.790114e-001	9.738896e-001
3.241516798733716e-004	1.321015e-001	1.955776e-003	1.948445e-002	2.036564e-002	2.022653e-001	8.934137e-001
3.840751671220078e-004	1.529128e-001	2.728852e-003	2.713875e-002	2.412981e-002	2.389861e-001	6.656595e-001
4.737007283488865e-004	1.635551e-001	4.077023e-003	4.042765e-002	2.975910e-002	2.932599e-001	1.644922e-001
5.682797997543890e-004	1.493030e-001	5.710783e-003	5.644673e-002	3.569848e-002	3.495219e-001	-4.159749e-001
6.291164224531483e-004	1.255746e-001	6.882980e-003	6.787816e-002	3.951826e-002	3.850717e-001	-7.251570e-001
6.671707870593641e-004	1.048293e-001	7.672992e-003	7.554641e-002	4.190730e-002	4.070260e-001	-8.676048e-001
6.935212105065788e-004	8.858682e-002	8.245020e-003	8.107956e-002	4.356143e-002	4.220925e-001	-9.376928e-001
7.127499479045726e-004	7.615320e-002	8.674692e-003	8.522504e-002	4.476843e-002	4.330142e-001	-9.727353e-001
7.283416620977478e-004	6.588281e-002	9.030738e-003	8.865292e-002	4.574709e-002	4.418237e-001	-9.907550e-001
7.447988410857001e-004	5.500809e-002	9.413682e-003	9.233249e-002	4.678001e-002	4.510763e-001	-9.994661e-001
7.630662439576726e-004	4.306205e-002	9.847014e-003	9.648724e-002	4.792650e-002	4.612901e-001	-9.966319e-001
7.862667879409357e-004	2.842391e-002	1.041080e-002	1.018769e-001	4.938251e-002	4.741743e-001	-9.741496e-001
8.238571902529737e-004	6.624344e-003	1.135237e-002	1.108416e-001	5.174136e-002	4.948348e-001	-8.942434e-001
8.704883384095846e-004	-1.637109e-002	1.256161e-002	1.222962e-001	5.466713e-002	5.200794e-001	-7.268648e-001
9.147543454636441e-004	-3.209549e-002	1.375608e-002	1.335360e-001	5.744407e-002	5.436310e-001	-5.103694e-001
9.715600288064738e-004	-4.160798e-002	1.535561e-002	1.484648e-001	6.100701e-002	5.732356e-001	-1.777441e-001
1.037291930649189e-003	-3.776402e-002	1.729132e-002	1.663487e-001	6.512884e-002	6.065784e-001	2.321739e-001
1.114267778520460e-003	-1.684901e-002	1.965396e-002	1.879466e-001	6.995433e-002	6.443057e-001	6.578538e-001
1.157418796899260e-003	1.912733e-003	2.102564e-002	2.003579e-001	7.265869e-002	6.648012e-001	8.355271e-001
1.192365882129168e-003	2.060754e-002	2.216642e-002	2.105912e-001	7.484850e-002	6.810426e-001	9.351459e-001
1.214529040527364e-003	3.334575e-002	2.290198e-002	2.171501e-001	7.623707e-002	6.911731e-001	9.752670e-001
1.230554472810155e-003	4.281700e-002	2.344036e-002	2.219282e-001	7.724100e-002	6.984148e-001	9.925453e-001
1.245816511728421e-003	5.187950e-002	2.395802e-002	2.265044e-001	7.819705e-002	7.052457e-001	9.996545e-001
1.263444772248806e-003	6.223266e-002	2.456164e-002	2.318189e-001	7.930122e-002	7.130548e-001	9.964340e-001
1.286882328093779e-003	7.547078e-002	2.537392e-002	2.389314e-001	8.076912e-002	7.233018e-001	9.732686e-001
1.324849318005115e-003	9.465106e-002	2.671256e-002	2.505541e-001	8.314663e-002	7.395674e-001	8.914359e-001
1.385163990452981e-003	1.172547e-001	2.889060e-002	2.692207e-001	8.692259e-002	7.645379e-001	6.605386e-001
1.467300552601872e-003	1.301246e-001	3.194584e-002	2.949339e-001	9.206267e-002	7.967706e-001	2.040143e-001
1.555771739666718e-003	1.206030e-001	3.533882e-002	3.228913e-001	9.759642e-002	8.291135e-001	-3.432962e-001
1.621841030812974e-003	9.772968e-002	3.794112e-002	3.438903e-001	1.017270e-001	8.516014e-001	-6.929335e-001
1.662353838736333e-003	7.713281e-002	3.956933e-002	3.567979e-001	1.042590e-001	8.646673e-001	-8.521600e-001
1.690085381617704e-003	6.076742e-002	4.069879e-002	3.656363e-001	1.059917e-001	8.732886e-001	-9.299738e-001
