x	V(flat)
1.000000000000000e+000	8.500931e-001
2.000000000000000e+000	-1.497085e+000
3.000000000000000e+000	-3.258919e+000
4.000000000000000e+000	2.105014e+000
5.000000000000000e+000	-3.526871e+000
6.000000000000000e+000	4.885251e+000
7.000000000000000e+000	1.017640e+000
8.000000000000000e+000	-3.337657e+000
9.000000000000000e+000	-4.429609e+000
1.000000000000000e+001	2.833186e+000
1.100000000000000e+001	3.759728e+000
1.200000000000000e+001	4.559008e+000
1.300000000000000e+001	-3.791925e-001
1.400000000000000e+001	3.622395e+000
1.500000000000000e+001	4.967956e+000
1.600000000000000e+001	1.114994e+000
1.700000000000000e+001	3.401440e+000
1.800000000000000e+001	-1.241340e+000
1.900000000000000e+001	-4.912107e+000
2.000000000000000e+001	-2.241127e+000
2.100000000000000e+001	3.376110e+000
2.200000000000000e+001	-1.506088e-001
2.300000000000000e+001	-4.203925e-001
2.400000000000000e+001	2.444380e+000
2.500000000000000e+001	2.350078e+000
2.600000000000000e+001	7.240517e-001
2.700000000000000e+001	-7.484664e-001
2.800000000000000e+001	1.710562e-001
2.900000000000000e+001	-3.310190e+000
3.000000000000000e+001	-8.102664e-002
3.100000000000000e+001	-3.525040e+000
3.200000000000000e+001	-3.584246e+000
3.300000000000000e+001	-7.344279e-001
3.400000000000000e+001	4.666128e+000
3.500000000000000e+001	-3.086489e+000
3.600000000000000e+001	3.171941e+000
3.700000000000000e+001	2.320170e+000
3.800000000000000e+001	-2.204199e+000
3.900000000000000e+001	2.219153e+000
4.000000000000000e+001	-3.769799e+000
4.100000000000000e+001	-7.377850e-001
4.200000000000000e+001	4.493393e+000
4.300000000000000e+001	-2.827540e-001
4.400000000000000e+001	3.469802e+000
4.500000000000000e+001	4.829707e+000
4.600000000000000e+001	2.391888e+000
4.700000000000000e+001	3.394421e+000
4.800000000000000e+001	9.002960e-003
4.900000000000000e+001	3.132725e-001
5.000000000000000e+001	3.430433e+000
5.100000000000000e+001	3.421583e+000
5.200000000000000e+001	-3.900723e+000
5.300000000000000e+001	-2.139195e+000
5.400000000000000e+001	-3.597369e+000
5.500000000000000e+001	1.002380e+000
5.600000000000000e+001	-2.472762e+000
5.700000000000000e+001	-2.894223e+000
5.800000000000000e+001	5.320902e-001
5.900000000000000e+001	2.522202e+000
6.000000000000000e+001	4.344310e-001
6.100000000000000e+001	1.962188e+000
6.200000000000000e+001	-6.331065e-001
6.300000000000000e+001	1.286813e+000
6.400000000000000e+001	4.135258e-002
6.500000000000000e+001	-3.100528e+000
6.600000000000000e+001	-3.216498e+000
6.700000000000000e+001	-4.024934e+000
6.800000000000000e+001	-4.056063e+000
6.900000000000000e+001	-2.726981e+000
7.000000000000000e+001	-8.928190e-001
7.100000000000000e+001	-4.838710e-001
7.200000000000000e+001	9.782708e-001
7.300000000000000e+001	1.247749e+000
7.400000000000000e+001	6.575213e-001
7.500000000000000e+001	5.513169e-001
7.600000000000000e+001	-2.571337e+000
7.700000000000000e+001	8.461257e-001
7.800000000000000e+001	-5.539110e-002
7.900000000000000e+001	1.203803e+000
8.000000000000000e+001	3.045290e+000
8.100000000000000e+001	4.115573e+000
8.200000000000000e+001	2.276833e+000
8.300000000000000e+001	-1.941740e+000
8.400000000000000e+001	-3.914457e+000
8.500000000000000e+001	-3.451186e+000
8.600000000000000e+001	-4.206519e+000
8.700000000000000e+001	4.509110e-001
8.800000000000000e+001	-9.102145e-001
8.900000000000000e+001	-3.473464e+000
9.000000000000000e+001	2.379986e+000
9.100000000000000e+001	-1.999420e+000
9.200000000000000e+001	-3.727683e+000
9.300000000000000e+001	1.096377e+000
9.400000000000000e+001	-4.277322e+000
9.500000000000000e+001	-3.951994e+000
9.600000000000000e+001	-2.729118e+000
9.700000000000000e+001	1.628010e+000
9.800000000000000e+001	-7.461776e-002
9.900000000000000e+001	9.262367e-002
1.000000000000000e+002	1.881619e+000
