x	V(gauss)
1.000000000000000e+000	2.643552e+000
2.000000000000000e+000	-2.626045e+000
3.000000000000000e+000	2.766053e+000
4.000000000000000e+000	3.621148e+000
5.000000000000000e+000	-1.218152e+000
6.000000000000000e+000	-3.672009e+000
7.000000000000000e+000	1.245796e+001
8.000000000000000e+000	5.541323e+000
9.000000000000000e+000	-1.024443e+001
1.000000000000000e+001	-3.409173e+000
1.100000000000000e+001	-9.549264e+000
1.200000000000000e+001	9.586787e-001
1.300000000000000e+001	-5.701475e+000
1.400000000000000e+001	6.273349e-001
1.500000000000000e+001	2.696856e+000
1.600000000000000e+001	2.194630e+000
1.700000000000000e+001	-4.538121e+000
1.800000000000000e+001	-5.233613e+000
1.900000000000000e+001	-1.976568e+000
2.000000000000000e+001	7.892545e-001
2.100000000000000e+001	8.452374e+000
2.200000000000000e+001	3.886513e+000
2.300000000000000e+001	-1.081543e+000
2.400000000000000e+001	8.357758e+000
2.500000000000000e+001	-8.270103e+000
2.600000000000000e+001	7.137513e+000
2.700000000000000e+001	-2.138201e+000
2.800000000000000e+001	-2.710287e+000
2.900000000000000e+001	-3.798388e+000
3.000000000000000e+001	6.186782e+000
3.100000000000000e+001	2.303806e-001
3.200000000000000e+001	9.574324e+000
3.300000000000000e+001	-5.512617e+000
3.400000000000000e+001	5.399007e+000
3.500000000000000e+001	1.581641e+000
3.600000000000000e+001	6.200963e+000
3.700000000000000e+001	6.949262e-002
3.800000000000000e+001	-6.103723e+000
3.900000000000000e+001	5.553136e+000
4.000000000000000e+001	3.955454e+000
4.100000000000000e+001	1.050481e+001
4.200000000000000e+001	1.096608e+000
4.300000000000000e+001	-1.011193e+001
4.400000000000000e+001	3.253091e+000
4.500000000000000e+001	-8.597752e+000
4.600000000000000e+001	-1.654675e+000
4.700000000000000e+001	3.063940e+000
4.800000000000000e+001	-3.564548e+000
4.900000000000000e+001	-3.020573e+000
5.000000000000000e+001	4.877912e-001
5.100000000000000e+001	-5.489547e+000
5.200000000000000e+001	2.863569e+000
5.300000000000000e+001	1.924584e+000
5.400000000000000e+001	-8.113149e-001
5.500000000000000e+001	2.576888e+000
5.600000000000000e+001	4.145593e+000
5.700000000000000e+001	1.971635e+000
5.800000000000000e+001	1.712266e+000
5.900000000000000e+001	-5.863451e-001
6.000000000000000e+001	-4.978524e+000
6.100000000000000e+001	-6.884121e+000
6.200000000000000e+001	-1.461550e+000
6.300000000000000e+001	5.147854e+000
6.400000000000000e+001	1.230421e+001
6.500000000000000e+001	2.345533e+000
6.600000000000000e+001	1.080888e+000
6.700000000000000e+001	1.829829e-001
6.800000000000000e+001	-1.563684e-002
6.900000000000000e+001	-1.572286e+000
7.000000000000000e+001	2.954791e+000
7.100000000000000e+001	6.641759e+000
7.200000000000000e+001	8.167661e+000
7.300000000000000e+001	1.236810e+000
7.400000000000000e+001	1.334620e+000
7.500000000000000e+001	2.916634e+000
7.600000000000000e+001	-3.870700e+000
7.700000000000000e+001	7.915879e+000
7.800000000000000e+001	4.176084e+000
7.900000000000000e+001	3.356722e+000
8.000000000000000e+001	7.212175e+000
8.100000000000000e+001	5.240029e+000
8.200000000000000e+001	1.083492e+000
8.300000000000000e+001	3.376719e+000
8.400000000000000e+001	-9.026673e+000
8.500000000000000e+001	2.254419e+000
8.600000000000000e+001	3.240895e+000
8.700000000000000e+001	5.472326e+000
8.800000000000000e+001	2.410892e+000
8.900000000000000e+001	5.721016e-001
9.000000000000000e+001	-1.634472e+001
9.100000000000000e+001	1.911725e+000
9.200000000000000e+001	3.171775e+000
9.300000000000000e+001	6.423147e-001
9.400000000000000e+001	7.445827e+000
9.500000000000000e+001	-6.568378e+000
9.600000000000000e+001	5.681475e+000
9.700000000000000e+001	4.942433e-001
9.800000000000000e+001	4.056981e+000
9.900000000000000e+001	7.301290e+000
1.000000000000000e+002	-7.937423e-002
