x	V(mc)
1.000000000000000e+000	9.979873e+000
2.000000000000000e+000	1.039596e+001
3.000000000000000e+000	1.035894e+001
4.000000000000000e+000	1.001353e+001
5.000000000000000e+000	9.665898e+000
6.000000000000000e+000	9.945692e+000
7.000000000000000e+000	1.010717e+001
8.000000000000000e+000	1.016304e+001
9.000000000000000e+000	1.010768e+001
1.000000000000000e+001	1.030261e+001
1.100000000000000e+001	1.022668e+001
1.200000000000000e+001	1.042572e+001
1.300000000000000e+001	9.735329e+000
1.400000000000000e+001	9.709601e+000
1.500000000000000e+001	1.049969e+001
1.600000000000000e+001	9.892438e+000
1.700000000000000e+001	9.523744e+000
1.800000000000000e+001	9.592624e+000
1.900000000000000e+001	1.041879e+001
2.000000000000000e+001	9.772897e+000
2.100000000000000e+001	1.022649e+001
2.200000000000000e+001	9.705359e+000
2.300000000000000e+001	1.044916e+001
2.400000000000000e+001	9.608279e+000
2.500000000000000e+001	1.010897e+001
2.600000000000000e+001	9.861340e+000
2.700000000000000e+001	1.030288e+001
2.800000000000000e+001	1.048999e+001
2.900000000000000e+001	1.015731e+001
3.000000000000000e+001	9.563540e+000
3.100000000000000e+001	1.044958e+001
3.200000000000000e+001	1.040512e+001
3.300000000000000e+001	9.570375e+000
3.400000000000000e+001	1.018319e+001
3.500000000000000e+001	9.677893e+000
3.600000000000000e+001	9.975265e+000
3.700000000000000e+001	9.905591e+000
3.800000000000000e+001	1.006874e+001
3.900000000000000e+001	9.975295e+000
4.000000000000000e+001	9.867809e+000
4.100000000000000e+001	9.604678e+000
4.200000000000000e+001	1.042138e+001
4.300000000000000e+001	9.874981e+000
4.400000000000000e+001	9.816874e+000
4.500000000000000e+001	9.797800e+000
4.600000000000000e+001	1.006728e+001
4.700000000000000e+001	9.897656e+000
4.800000000000000e+001	1.039016e+001
4.900000000000000e+001	9.694067e+000
5.000000000000000e+001	1.012676e+001
5.100000000000000e+001	9.623325e+000
5.200000000000000e+001	1.024313e+001
5.300000000000000e+001	9.836314e+000
5.400000000000000e+001	1.023308e+001
5.500000000000000e+001	1.024722e+001
5.600000000000000e+001	9.644475e+000
5.700000000000000e+001	9.615604e+000
5.800000000000000e+001	9.514252e+000
5.900000000000000e+001	1.018615e+001
6.000000000000000e+001	9.573885e+000
6.100000000000000e+001	9.790353e+000
6.200000000000000e+001	9.732429e+000
6.300000000000000e+001	9.660192e+000
6.400000000000000e+001	1.046304e+001
6.500000000000000e+001	9.835948e+000
6.600000000000000e+001	1.049518e+001
6.700000000000000e+001	1.012517e+001
6.800000000000000e+001	9.937727e+000
6.900000000000000e+001	1.026907e+001
7.000000000000000e+001	9.701971e+000
7.100000000000000e+001	9.966353e+000
7.200000000000000e+001	1.013472e+001
7.300000000000000e+001	1.022091e+001
7.400000000000000e+001	9.875134e+000
7.500000000000000e+001	1.040509e+001
7.600000000000000e+001	9.688940e+000
7.700000000000000e+001	9.851298e+000
7.800000000000000e+001	9.580386e+000
7.900000000000000e+001	1.019112e+001
8.000000000000000e+001	9.649114e+000
8.100000000000000e+001	1.011470e+001
8.200000000000000e+001	9.543214e+000
8.300000000000000e+001	9.673925e+000
8.400000000000000e+001	1.036905e+001
8.500000000000000e+001	9.826914e+000
8.600000000000000e+001	9.576601e+000
8.700000000000000e+001	9.948256e+000
8.800000000000000e+001	9.798746e+000
8.900000000000000e+001	9.823038e+000
9.000000000000000e+001	9.813883e+000
9.100000000000000e+001	1.044400e+001
9.200000000000000e+001	9.565737e+000
9.300000000000000e+001	1.045611e+001
9.400000000000000e+001	1.037564e+001
9.500000000000000e+001	1.000505e+001
9.600000000000000e+001	9.790292e+000
9.700000000000000e+001	9.614536e+000
9.800000000000000e+001	9.879131e+000
9.900000000000000e+001	9.882366e+000
1.000000000000000e+002	1.003215e+001
